link,tipo_vivienda,n_habitaciones,n_baños,n_estacionamientos,total_superficie_m2,superficie_construida_m2,dirección
https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/queilen/3000455,Casa,5.0,6.0,3,5000,440,"Calera de Tango, Queilen"
https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/queilen/2246315,Casa,6.0,6.0,6,5000,430,"Calera de Tango, Queilen"
https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/avenida-calera-de-tango-condominiosanta-teresa-de-tango-el-barrancon/3429380,Casa,3.0,3.0,No,2027,140,"Calera de Tango, Avenida calera de tango   condominio/santa teresa de tango - el barrancon"
https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/paradero-14-125-kilometros-cruce-calera-de-tango/3384071,Casa,8.0,6.0,No,5000,480,"Calera de Tango, Paradero 14 1/2/5 kilometros cruce calera de tango"
https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/condominio-el-trebol-de-calera-de-tango/3639010,Casa,3.0,2.0,3,5000,196,"Calera de Tango, Condominio El Trébol de Calera de Tango"
https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/lonquen-surcalera-de-tango/3557811,Casa,3.0,2.0,No,5000,170,"Calera de Tango, Lonquen Sur/Calera de Tango"
https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/graciela-letelier-de-ibanez-n-29-camino-lonquen-a-7-km-de-mall-plaza-oeste/3716413,Casa,3.0,2.0,4,2600,140,"Calera de Tango, Graciela Letelier de Ibañez N 29, camino lonquen. A 7 km de mall plaza oeste"
https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/camino-loretocondominio-santa-cruz-de-loreto/2898688,Casa,5.0,4.0,No,5000,650,"Calera de Tango, Camino loreto/condominio santa cruz de loreto"
https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/lonquencalera-de-tango/2897936,Casa,5.0,3.0,No,5000,404,"Calera de Tango, Lonquen/Calera de tango"
https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/condominio-los-almendros-suravda-calera-de-tango-cv/2832877,Casa,6.0,4.0,No,5015,440,"Calera de Tango, Condominio Los Almendros Sur/Avda Calera de Tango CV"
https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/condominio-la-virgenfrente-a-restaurante-kugenhouse/3372229,Casa,7.0,5.0,No,5000,300,"Calera de Tango, Condominio la virgen/frente a restaurante kugenhouse"
https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/graciela-letelier/3604262,Casa,6.0,5.0,2,5000,250,"Calera de Tango, Graciela Letelier"
https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/calera-de-tango/3641076,Casa,3.0,1.0,2,300,50,"Calera de Tango, Calera de Tango"
https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/parcela-de-5000-m2-con-casa-en-ex-colonia-el-trebol-calera-de-tango/3575165,Casa,3.0,2.0,No,5000,443,"Calera de Tango, Parcela de 5.000 m2 con casa en ex Colonia El Trébol. Calera de Tango"
https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/don-orione/2653154,Casa,3.0,2.0,2,109,80,"Cerrillos, Don orione"
https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/fernandez-albano/2398392,Casa,4.0,3.0,2,260,142,"Cerrillos, Fernandez Albano"
https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/ongolmo/3550011,Casa,3.0,1.0,1,150,80,"Cerrillos, Ongolmo"
https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/los-jazmines-274/3615388,Casa,5.0,2.0,2,276,83,"Cerrillos, Los Jazmines 274"
https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/general-jose-bernales-ramirez/3638910,Casa,4.0,2.0,,134,149,"Cerrillos, General José Bernales Ramírez"
https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/cerrillos/3726822,Casa,4.0,2.0,1,320,120,"Cerrillos, Cerrillos"
https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/cerrillos-region-metropolitana/3072666,Casa,3.0,1.0,2,108,216,
https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/julio-verne/3658196,Casa,5.0,3.0,3,250,140,"Cerrillos, Julio Verne"
https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/cerrillos-region-metropolitana/3072610,Casa,3.0,1.0,2,264,89,
https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/el-universo/2563427,Casa,3.0,1.0,1,162,91,"Cerrillos, El Universo"
https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/cerrillos/3727336,Casa,3.0,2.0,2,126,76,"Cerrillos, Cerrillos"
https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/ing-juan-ceron-reyes/3112489,Casa,3.0,2.0,No,120,82,"Cerrillos, Ing juan cerón reyes"
https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/padre-tomas-roggia-2641/2554992,Casa,3.0,2.0,3,130,80,"Cerrillos, Padre tomas Roggia 2641"
https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/casa-2-pisos-en-condominio-altos-de-don-orione/3441484,Casa,3.0,2.0,No,100,85,"Cerrillos, Casa 2 Pisos en Condominio Altos de Don Orione"
https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/caupolican-7195/2991725,Casa,9.0,8.0,3,268,218,"Cerrillos, Caupolicán 7195"
https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/catorce-de-octubre/3710696,Casa,2.0,1.0,3,1050,85,"Cerrillos, Catorce de Octubre"
https://chilepropiedades.cl/ver-publicacion/venta-usada/cerro-navia/casa/huelen-1581/3608211,Casa,4.0,2.0,1,,198,"Cerro Navia, Huelen 1581"
https://chilepropiedades.cl/ver-publicacion/venta-usada/cerro-navia/casa/presidente-prieto/2009884,Casa,4.0,3.0,3,560,120,"Cerro Navia, Presidente Prieto"
https://chilepropiedades.cl/ver-publicacion/venta-usada/cerro-navia/casa/doctor-avendano/3639993,Casa,2.0,1.0,1,162,65,"Cerro Navia, Doctor Avendaño"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/caletera-san-martincarretera-san-martin/1151912,Casa,3.0,3.0,No,5000,230,"Colina, Caletera San Martin/Carretera San Martin"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/general-san-martin/3505258,Casa,5.0,5.0,No,5000,310,"Colina, General San Martin"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/av-chicureoalba-2/3417275,Casa,4.0,3.0,No,5000,260,"Colina, Av. Chicureo/Alba 2"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/av-chamisero-portezuelo-iii-calle-el-tranque-oriente-colina/3309727,Casa,5.0,5.0,No,140,460,"Colina, Av Chamisero Portezuelo III calle el tranque Oriente colina"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/las-brisas-de-chicureo/3676096,Casa,5.0,5.0,No,5000,640,"Colina, Las Brisas de Chicureo"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/colina-region-metropolitana/3377283,Casa,4.0,3.0,2,5400,150,
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/haya-austral-772/3611470,Casa,3.0,3.0,2,120,90,"Colina, Haya Austral 772"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/altos-de-la-reserva/3472948,Casa,5.0,7.0,5,5000,468,"Colina, Altos de la Reserva"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/avda-chicureocaletera-general-san-martin/1406465,Casa,3.0,2.0,No,8509,190,"Colina, Avda Chicureo/Caletera General San Martin"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/cerro-santa-isabel/3339617,Casa,8.0,5.0,No,7200,365,"Colina, Cerro Santa Isabel"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/camino-guay-guayav-chicureo/1460501,Casa,5.0,4.0,No,5160,360,"Colina, Camino Guay Guay/Av. Chicureo"
https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/camino-santa-elena/3506079,Casa,4.0,3.0,No,5000,235,"Colina, Camino santa Elena"
